D:\temp\os\Debug>os.exe 7 8
Count of threads - 7, time to stop - 8.
Priority                        Boost  Changed     Counter
THREAD_PRIORITY_IDLE            Yes    No         11675197
THREAD_PRIORITY_LOWEST          Yes    No         18851680
THREAD_PRIORITY_BELOW_NORMAL    Yes    No         18885593
THREAD_PRIORITY_NORMAL          Yes    No         19039509
THREAD_PRIORITY_ABOVE_NORMAL    Yes    No         16039789
THREAD_PRIORITY_HIGHEST         Yes    No         19199869
THREAD_PRIORITY_TIME_CRITICAL   Yes    No         11314114
Press "Enter" to exit.
