D:\temp\os\Debug>start /affinity 1 os.exe 7 10
Count of threads - 7, time to stop - 10.
Priority                        Boost  Changed     Counter
THREAD_PRIORITY_IDLE            Yes    No                0
THREAD_PRIORITY_LOWEST          Yes    No                0
THREAD_PRIORITY_BELOW_NORMAL    Yes    No                0
THREAD_PRIORITY_NORMAL          Yes    No                0
THREAD_PRIORITY_ABOVE_NORMAL    Yes    Yes               3
THREAD_PRIORITY_HIGHEST         Yes    Yes       188516803
THREAD_PRIORITY_TIME_CRITICAL   Yes    Yes       188855934
Press "Enter" to exit.
