  UID   PID          PENDING          BLOCKED          IGNORED           CAUGHT STAT TTY        TIME COMMAND
    0  2233 0000000000000000 0000000000000000 0000000000001000 00000001d18066cf Ssl+ tty7       7:42 /usr/lib/xorg/Xorg -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
    0  2267 0000000000000000 0000000000000000 0000000000000006 0000000000000000 Ss+  tty1       0:00 /sbin/agetty --noclear tty1 linux
    0  6759 0000000000000000 0000000000000000 0000000000000000 00000001800b7a07 S+   pts/2      0:00 sudo sh p4.8.p3.sh
    0  6760 0000000000000000 0000000000000000 0000000000000000 0000000000010002 S+   pts/2      0:00 sh p4.8.p3.sh
    0  6782 0000000000000000 0000000000010000 0000000000000006 0000000000000000 S+   pts/2      0:00 ./p3.1.0
    0  6783 0000000000000000 0000000000000000 0000000000000000 0000000000000000 S+   pts/2      0:00 p3.1.1.ch
    0  6784 0000000000000000 0000000000000000 0000000000000200 0000000000000000 S+   pts/2      0:00 p3.1.2.ch
    0  6785 0000000000000000 0000000000000000 0000000000000000 0000000000000200 S+   pts/2      0:00 p3.1.3.ch
    0  6786 0000000000000000 0000000000000000 0000000000000000 0000000000010002 S+   pts/2      0:00 sh -c ps -s > p3.1.0.log
    0  6787 0000000000000000 0000000000000000 0000000000000000 00000001f3d1fef9 R+   pts/2      0:00 ps -s
